running build_ext
Failed to import optional module imus. Install optional dependencies
Failed to import optional module misc. Install optional dependencies
Using cuda device
Logging to rl/out_dir/models/exp74/PPO_3
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 640        |
| time/                   |            |
|    fps                  | 208        |
|    iterations           | 76         |
|    time_elapsed         | 373        |
|    total_timesteps      | 77824      |
| train/                  |            |
|    approx_kl            | 0.07724598 |
|    clip_fraction        | 0.173      |
|    clip_range           | 0.4        |
|    entropy_loss         | -15.5      |
|    explained_variance   | 0.975      |
|    learning_rate        | 0.0003     |
|    loss                 | 238        |
|    n_updates            | 1500       |
|    policy_gradient_loss | -0.0771    |
|    std                  | 0.367      |
|    value_loss           | 512        |
----------------------------------------
Num timesteps: 78000
Best mean reward: 791.71 - Last mean reward per episode: 640.18
----------------------------------------
| reward                  | -2.1       |
| reward_contact          | -0.0471    |
| reward_ctrl             | 4.5e-05    |
| reward_motion           | 9.24e-07   |
| reward_position         | 0.000139   |
| reward_torque           | -2.81      |
| reward_velocity         | 0.762      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 632        |
| time/                   |            |
|    fps                  | 208        |
|    iterations           | 77         |
|    time_elapsed         | 377        |
|    total_timesteps      | 78848      |
| train/                  |            |
|    approx_kl            | 0.06728281 |
|    clip_fraction        | 0.169      |
|    clip_range           | 0.4        |
|    entropy_loss         | -15.9      |
|    explained_variance   | 0.97       |
|    learning_rate        | 0.0003     |
|    loss                 | 156        |
|    n_updates            | 1520       |
|    policy_gradient_loss | -0.0718    |
|    std                  | 0.367      |
|    value_loss           | 617        |
----------------------------------------
-----------------------------------------
| reward                  | -2.09       |
| reward_contact          | -0.0471     |
| reward_ctrl             | 4.46e-05    |
| reward_motion           | 9.16e-07    |
| reward_position         | 0.000137    |
| reward_torque           | -2.81       |
| reward_velocity         | 0.762       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 633         |
| time/                   |             |
|    fps                  | 209         |
|    iterations           | 78          |
|    time_elapsed         | 381         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.052631572 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.4         |
|    entropy_loss         | -16.1       |
|    explained_variance   | 0.976       |
|    learning_rate        | 0.0003      |
|    loss                 | 159         |
|    n_updates            | 1540        |
|    policy_gradient_loss | -0.0682     |
|    std                  | 0.367       |
|    value_loss           | 420         |
-----------------------------------------
-----------------------------------------
| reward                  | -2.1        |
| reward_contact          | -0.0471     |
| reward_ctrl             | 4.65e-05    |
| reward_motion           | 9.47e-07    |
| reward_position         | 0.000142    |
| reward_torque           | -2.81       |
| reward_velocity         | 0.761       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 638         |
| time/                   |             |
|    fps                  | 209         |
|    iterations           | 79          |
|    time_elapsed         | 386         |
|    total_timesteps      | 80896       |
| train/                  |             |
|    approx_kl            | 0.091547176 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.4         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.976       |
|    learning_rate        | 0.0003      |
|    loss                 | 72.4        |
|    n_updates            | 1560        |
|    policy_gradient_loss | -0.0856     |
|    std                  | 0.367       |
|    value_loss           | 432         |
-----------------------------------------
----------------------------------------
| reward                  | -2.11      |
| reward_contact          | -0.047     |
| reward_ctrl             | 4.66e-05   |
| reward_motion           | 9.47e-07   |
| reward_position         | 0.000142   |
| reward_torque           | -2.82      |
| reward_velocity         | 0.76       |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 636        |
| time/                   |            |
|    fps                  | 209        |
|    iterations           | 80         |
|    time_elapsed         | 390        |
|    total_timesteps      | 81920      |
| train/                  |            |
|    approx_kl            | 0.07504402 |
|    clip_fraction        | 0.199      |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.8      |
|    explained_variance   | 0.969      |
|    learning_rate        | 0.0003     |
|    loss                 | 103        |
|    n_updates            | 1580       |
|    policy_gradient_loss | -0.0823    |
|    std                  | 0.367      |
|    value_loss           | 492        |
----------------------------------------
----------------------------------------
| reward                  | -2.11      |
| reward_contact          | -0.047     |
| reward_ctrl             | 4.62e-05   |
| reward_motion           | 9.39e-07   |
| reward_position         | 0.000141   |
| reward_torque           | -2.82      |
| reward_velocity         | 0.762      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 632        |
| time/                   |            |
|    fps                  | 210        |
|    iterations           | 81         |
|    time_elapsed         | 394        |
|    total_timesteps      | 82944      |
| train/                  |            |
|    approx_kl            | 0.05894314 |
|    clip_fraction        | 0.17       |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.7      |
|    explained_variance   | 0.979      |
|    learning_rate        | 0.0003     |
|    loss                 | 60.3       |
|    n_updates            | 1600       |
|    policy_gradient_loss | -0.0641    |
|    std                  | 0.367      |
|    value_loss           | 404        |
----------------------------------------
-----------------------------------------
| reward                  | -2.1        |
| reward_contact          | -0.0471     |
| reward_ctrl             | 4.58e-05    |
| reward_motion           | 9.34e-07    |
| reward_position         | 0.00014     |
| reward_torque           | -2.82       |
| reward_velocity         | 0.763       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 632         |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 82          |
|    time_elapsed         | 399         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.037166715 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.4         |
|    entropy_loss         | -16.9       |
|    explained_variance   | 0.976       |
|    learning_rate        | 0.0003      |
|    loss                 | 220         |
|    n_updates            | 1620        |
|    policy_gradient_loss | -0.0523     |
|    std                  | 0.367       |
|    value_loss           | 504         |
-----------------------------------------
Num timesteps: 84000
Best mean reward: 791.71 - Last mean reward per episode: 631.66
----------------------------------------
| reward                  | -2.11      |
| reward_contact          | -0.0471    |
| reward_ctrl             | 4.55e-05   |
| reward_motion           | 9.28e-07   |
| reward_position         | 0.000139   |
| reward_torque           | -2.82      |
| reward_velocity         | 0.762      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 628        |
| time/                   |            |
|    fps                  | 210        |
|    iterations           | 83         |
|    time_elapsed         | 403        |
|    total_timesteps      | 84992      |
| train/                  |            |
|    approx_kl            | 0.12127335 |
|    clip_fraction        | 0.28       |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.2      |
|    explained_variance   | 0.979      |
|    learning_rate        | 0.0003     |
|    loss                 | 83.3       |
|    n_updates            | 1640       |
|    policy_gradient_loss | -0.0993    |
|    std                  | 0.367      |
|    value_loss           | 340        |
----------------------------------------
---------------------------------------
| reward                  | -2.1      |
| reward_contact          | -0.0471   |
| reward_ctrl             | 4.52e-05  |
| reward_motion           | 9.23e-07  |
| reward_position         | 0.000138  |
| reward_torque           | -2.82     |
| reward_velocity         | 0.761     |
| rollout/                |           |
|    ep_len_mean          | 1.02e+03  |
|    ep_rew_mean          | 634       |
| time/                   |           |
|    fps                  | 210       |
|    iterations           | 84        |
|    time_elapsed         | 408       |
|    total_timesteps      | 86016     |
| train/                  |           |
|    approx_kl            | 0.0711868 |
|    clip_fraction        | 0.16      |
|    clip_range           | 0.4       |
|    entropy_loss         | -15.5     |
|    explained_variance   | 0.974     |
|    learning_rate        | 0.0003    |
|    loss                 | 228       |
|    n_updates            | 1660      |
|    policy_gradient_loss | -0.0729   |
|    std                  | 0.367     |
|    value_loss           | 634       |
---------------------------------------
-----------------------------------------
| reward                  | -2.11       |
| reward_contact          | -0.047      |
| reward_ctrl             | 4.51e-05    |
| reward_motion           | 9.18e-07    |
| reward_position         | 0.000138    |
| reward_torque           | -2.83       |
| reward_velocity         | 0.761       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 631         |
| time/                   |             |
|    fps                  | 211         |
|    iterations           | 85          |
|    time_elapsed         | 412         |
|    total_timesteps      | 87040       |
| train/                  |             |
|    approx_kl            | 0.059059467 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.4         |
|    entropy_loss         | -15.9       |
|    explained_variance   | 0.974       |
|    learning_rate        | 0.0003      |
|    loss                 | 472         |
|    n_updates            | 1680        |
|    policy_gradient_loss | -0.0646     |
|    std                  | 0.367       |
|    value_loss           | 605         |
-----------------------------------------
----------------------------------------
| reward                  | -2.13      |
| reward_contact          | -0.047     |
| reward_ctrl             | 4.5e-05    |
| reward_motion           | 9.18e-07   |
| reward_position         | 0.000138   |
| reward_torque           | -2.84      |
| reward_velocity         | 0.762      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 637        |
| time/                   |            |
|    fps                  | 211        |
|    iterations           | 86         |
|    time_elapsed         | 416        |
|    total_timesteps      | 88064      |
| train/                  |            |
|    approx_kl            | 0.10163675 |
|    clip_fraction        | 0.228      |
|    clip_range           | 0.4        |
|    entropy_loss         | -15.9      |
|    explained_variance   | 0.977      |
|    learning_rate        | 0.0003     |
|    loss                 | 487        |
|    n_updates            | 1700       |
|    policy_gradient_loss | -0.0836    |
|    std                  | 0.367      |
|    value_loss           | 497        |
----------------------------------------
-----------------------------------------
| reward                  | -2.13       |
| reward_contact          | -0.047      |
| reward_ctrl             | 4.47e-05    |
| reward_motion           | 9.15e-07    |
| reward_position         | 0.000137    |
| reward_torque           | -2.85       |
| reward_velocity         | 0.764       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 630         |
| time/                   |             |
|    fps                  | 211         |
|    iterations           | 87          |
|    time_elapsed         | 420         |
|    total_timesteps      | 89088       |
| train/                  |             |
|    approx_kl            | 0.051552266 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.4         |
|    entropy_loss         | -18.9       |
|    explained_variance   | 0.976       |
|    learning_rate        | 0.0003      |
|    loss                 | 138         |
|    n_updates            | 1720        |
|    policy_gradient_loss | -0.0379     |
|    std                  | 0.367       |
|    value_loss           | 485         |
-----------------------------------------
Num timesteps: 90000
Best mean reward: 791.71 - Last mean reward per episode: 630.24
----------------------------------------
| reward                  | -2.13      |
| reward_contact          | -0.047     |
| reward_ctrl             | 4.46e-05   |
| reward_motion           | 9.1e-07    |
| reward_position         | 0.000136   |
| reward_torque           | -2.85      |
| reward_velocity         | 0.762      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 632        |
| time/                   |            |
|    fps                  | 211        |
|    iterations           | 88         |
|    time_elapsed         | 425        |
|    total_timesteps      | 90112      |
| train/                  |            |
|    approx_kl            | 0.04710511 |
|    clip_fraction        | 0.162      |
|    clip_range           | 0.4        |
|    entropy_loss         | -17.5      |
|    explained_variance   | 0.966      |
|    learning_rate        | 0.0003     |
|    loss                 | 201        |
|    n_updates            | 1740       |
|    policy_gradient_loss | -0.0552    |
|    std                  | 0.367      |
|    value_loss           | 560        |
----------------------------------------
----------------------------------------
| reward                  | -2.13      |
| reward_contact          | -0.047     |
| reward_ctrl             | 4.44e-05   |
| reward_motion           | 9.08e-07   |
| reward_position         | 0.000136   |
| reward_torque           | -2.85      |
| reward_velocity         | 0.761      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 625        |
| time/                   |            |
|    fps                  | 212        |
|    iterations           | 89         |
|    time_elapsed         | 429        |
|    total_timesteps      | 91136      |
| train/                  |            |
|    approx_kl            | 0.05163174 |
|    clip_fraction        | 0.148      |
|    clip_range           | 0.4        |
|    entropy_loss         | -17.5      |
|    explained_variance   | 0.976      |
|    learning_rate        | 0.0003     |
|    loss                 | 78         |
|    n_updates            | 1760       |
|    policy_gradient_loss | -0.0511    |
|    std                  | 0.367      |
|    value_loss           | 513        |
----------------------------------------
-----------------------------------------
| reward                  | -2.14       |
| reward_contact          | -0.047      |
| reward_ctrl             | 4.44e-05    |
| reward_motion           | 9.09e-07    |
| reward_position         | 0.000136    |
| reward_torque           | -2.86       |
| reward_velocity         | 0.76        |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 621         |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 90          |
|    time_elapsed         | 434         |
|    total_timesteps      | 92160       |
| train/                  |             |
|    approx_kl            | 0.062439263 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.4         |
|    entropy_loss         | -18.1       |
|    explained_variance   | 0.974       |
|    learning_rate        | 0.0003      |
|    loss                 | 524         |
|    n_updates            | 1780        |
|    policy_gradient_loss | -0.048      |
|    std                  | 0.367       |
|    value_loss           | 502         |
-----------------------------------------
----------------------------------------
| reward                  | -2.14      |
| reward_contact          | -0.0469    |
| reward_ctrl             | 4.43e-05   |
| reward_motion           | 9.06e-07   |
| reward_position         | 0.000136   |
| reward_torque           | -2.86      |
| reward_velocity         | 0.762      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 615        |
| time/                   |            |
|    fps                  | 212        |
|    iterations           | 91         |
|    time_elapsed         | 438        |
|    total_timesteps      | 93184      |
| train/                  |            |
|    approx_kl            | 0.07532377 |
|    clip_fraction        | 0.157      |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.1      |
|    explained_variance   | 0.976      |
|    learning_rate        | 0.0003     |
|    loss                 | 149        |
|    n_updates            | 1800       |
|    policy_gradient_loss | -0.068     |
|    std                  | 0.367      |
|    value_loss           | 565        |
----------------------------------------
-----------------------------------------
| reward                  | -2.14       |
| reward_contact          | -0.0469     |
| reward_ctrl             | 4.42e-05    |
| reward_motion           | 9.06e-07    |
| reward_position         | 0.000136    |
| reward_torque           | -2.86       |
| reward_velocity         | 0.76        |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 611         |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 92          |
|    time_elapsed         | 442         |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.038080342 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.4         |
|    entropy_loss         | -17.7       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | 95.1        |
|    n_updates            | 1820        |
|    policy_gradient_loss | -0.0483     |
|    std                  | 0.367       |
|    value_loss           | 469         |
-----------------------------------------
-----------------------------------------
| reward                  | -2.14       |
| reward_contact          | -0.0469     |
| reward_ctrl             | 4.38e-05    |
| reward_motion           | 8.99e-07    |
| reward_position         | 0.000135    |
| reward_torque           | -2.86       |
| reward_velocity         | 0.76        |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 612         |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 93          |
|    time_elapsed         | 447         |
|    total_timesteps      | 95232       |
| train/                  |             |
|    approx_kl            | 0.057437897 |
|    clip_fraction        | 0.195       |
|    clip_range           | 0.4         |
|    entropy_loss         | -17.2       |
|    explained_variance   | 0.975       |
|    learning_rate        | 0.0003      |
|    loss                 | 599         |
|    n_updates            | 1840        |
|    policy_gradient_loss | -0.0525     |
|    std                  | 0.367       |
|    value_loss           | 542         |
-----------------------------------------
Num timesteps: 96000
Best mean reward: 791.71 - Last mean reward per episode: 612.12
----------------------------------------
| reward                  | -2.14      |
| reward_contact          | -0.0469    |
| reward_ctrl             | 4.37e-05   |
| reward_motion           | 8.96e-07   |
| reward_position         | 0.000134   |
| reward_torque           | -2.85      |
| reward_velocity         | 0.76       |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 607        |
| time/                   |            |
|    fps                  | 213        |
|    iterations           | 94         |
|    time_elapsed         | 451        |
|    total_timesteps      | 96256      |
| train/                  |            |
|    approx_kl            | 0.06996028 |
|    clip_fraction        | 0.16       |
|    clip_range           | 0.4        |
|    entropy_loss         | -15.9      |
|    explained_variance   | 0.976      |
|    learning_rate        | 0.0003     |
|    loss                 | 107        |
|    n_updates            | 1860       |
|    policy_gradient_loss | -0.0799    |
|    std                  | 0.367      |
|    value_loss           | 526        |
----------------------------------------
-----------------------------------------
| reward                  | -2.14       |
| reward_contact          | -0.0469     |
| reward_ctrl             | 4.34e-05    |
| reward_motion           | 8.91e-07    |
| reward_position         | 0.000134    |
| reward_torque           | -2.85       |
| reward_velocity         | 0.76        |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 606         |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 95          |
|    time_elapsed         | 456         |
|    total_timesteps      | 97280       |
| train/                  |             |
|    approx_kl            | 0.056031484 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.4         |
|    entropy_loss         | -17.5       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0003      |
|    loss                 | 217         |
|    n_updates            | 1880        |
|    policy_gradient_loss | -0.057      |
|    std                  | 0.367       |
|    value_loss           | 495         |
-----------------------------------------
----------------------------------------
| reward                  | -2.14      |
| reward_contact          | -0.0469    |
| reward_ctrl             | 4.34e-05   |
| reward_motion           | 8.91e-07   |
| reward_position         | 0.000134   |
| reward_torque           | -2.85      |
| reward_velocity         | 0.759      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 607        |
| time/                   |            |
|    fps                  | 213        |
|    iterations           | 96         |
|    time_elapsed         | 460        |
|    total_timesteps      | 98304      |
| train/                  |            |
|    approx_kl            | 0.07183945 |
|    clip_fraction        | 0.162      |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.1      |
|    explained_variance   | 0.979      |
|    learning_rate        | 0.0003     |
|    loss                 | 175        |
|    n_updates            | 1900       |
|    policy_gradient_loss | -0.0801    |
|    std                  | 0.367      |
|    value_loss           | 454        |
----------------------------------------
----------------------------------------
| reward                  | -2.15      |
| reward_contact          | -0.0469    |
| reward_ctrl             | 4.36e-05   |
| reward_motion           | 8.97e-07   |
| reward_position         | 0.000135   |
| reward_torque           | -2.86      |
| reward_velocity         | 0.762      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 603        |
| time/                   |            |
|    fps                  | 213        |
|    iterations           | 97         |
|    time_elapsed         | 464        |
|    total_timesteps      | 99328      |
| train/                  |            |
|    approx_kl            | 0.08660442 |
|    clip_fraction        | 0.181      |
|    clip_range           | 0.4        |
|    entropy_loss         | -15.9      |
|    explained_variance   | 0.98       |
|    learning_rate        | 0.0003     |
|    loss                 | 119        |
|    n_updates            | 1920       |
|    policy_gradient_loss | -0.0682    |
|    std                  | 0.367      |
|    value_loss           | 556        |
----------------------------------------
-----------------------------------------
| reward                  | -2.15       |
| reward_contact          | -0.0469     |
| reward_ctrl             | 4.38e-05    |
| reward_motion           | 9.02e-07    |
| reward_position         | 0.000135    |
| reward_torque           | -2.86       |
| reward_velocity         | 0.76        |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 608         |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 98          |
|    time_elapsed         | 469         |
|    total_timesteps      | 100352      |
| train/                  |             |
|    approx_kl            | 0.036415048 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.4         |
|    entropy_loss         | -17.6       |
|    explained_variance   | 0.98        |
|    learning_rate        | 0.0003      |
|    loss                 | 165         |
|    n_updates            | 1940        |
|    policy_gradient_loss | -0.0572     |
|    std                  | 0.367       |
|    value_loss           | 499         |
-----------------------------------------
---------------------------------------
| reward                  | -2.15     |
| reward_contact          | -0.047    |
| reward_ctrl             | 4.39e-05  |
| reward_motion           | 9.02e-07  |
| reward_position         | 0.000135  |
| reward_torque           | -2.87     |
| reward_velocity         | 0.762     |
| rollout/                |           |
|    ep_len_mean          | 1.02e+03  |
|    ep_rew_mean          | 606       |
| time/                   |           |
|    fps                  | 214       |
|    iterations           | 99        |
|    time_elapsed         | 473       |
|    total_timesteps      | 101376    |
| train/                  |           |
|    approx_kl            | 0.0719479 |
|    clip_fraction        | 0.14      |
|    clip_range           | 0.4       |
|    entropy_loss         | -16.8     |
|    explained_variance   | 0.974     |
|    learning_rate        | 0.0003    |
|    loss                 | 133       |
|    n_updates            | 1960      |
|    policy_gradient_loss | -0.0645   |
|    std                  | 0.367     |
|    value_loss           | 479       |
---------------------------------------
Num timesteps: 102000
Best mean reward: 791.71 - Last mean reward per episode: 605.58
-----------------------------------------
| reward                  | -2.15       |
| reward_contact          | -0.0469     |
| reward_ctrl             | 4.36e-05    |
| reward_motion           | 8.98e-07    |
| reward_position         | 0.000135    |
| reward_torque           | -2.86       |
| reward_velocity         | 0.764       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 602         |
| time/                   |             |
|    fps                  | 214         |
|    iterations           | 100         |
|    time_elapsed         | 477         |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.052123062 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.4         |
|    entropy_loss         | -17.6       |
|    explained_variance   | 0.975       |
|    learning_rate        | 0.0003      |
|    loss                 | 488         |
|    n_updates            | 1980        |
|    policy_gradient_loss | -0.0443     |
|    std                  | 0.367       |
|    value_loss           | 509         |
-----------------------------------------
-----------------------------------------
| reward                  | -2.14       |
| reward_contact          | -0.047      |
| reward_ctrl             | 4.35e-05    |
| reward_motion           | 8.96e-07    |
| reward_position         | 0.000134    |
| reward_torque           | -2.86       |
| reward_velocity         | 0.763       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 600         |
| time/                   |             |
|    fps                  | 214         |
|    iterations           | 101         |
|    time_elapsed         | 482         |
|    total_timesteps      | 103424      |
| train/                  |             |
|    approx_kl            | 0.060172085 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.4         |
|    entropy_loss         | -16.8       |
|    explained_variance   | 0.98        |
|    learning_rate        | 0.0003      |
|    loss                 | 173         |
|    n_updates            | 2000        |
|    policy_gradient_loss | -0.0666     |
|    std                  | 0.367       |
|    value_loss           | 449         |
-----------------------------------------
----------------------------------------
| reward                  | -2.14      |
| reward_contact          | -0.047     |
| reward_ctrl             | 4.34e-05   |
| reward_motion           | 8.99e-07   |
| reward_position         | 0.000135   |
| reward_torque           | -2.86      |
| reward_velocity         | 0.764      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 599        |
| time/                   |            |
|    fps                  | 215        |
|    iterations           | 102        |
|    time_elapsed         | 485        |
|    total_timesteps      | 104448     |
| train/                  |            |
|    approx_kl            | 0.07174431 |
|    clip_fraction        | 0.153      |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.4      |
|    explained_variance   | 0.972      |
|    learning_rate        | 0.0003     |
|    loss                 | 79.1       |
|    n_updates            | 2020       |
|    policy_gradient_loss | -0.0803    |
|    std                  | 0.367      |
|    value_loss           | 373        |
----------------------------------------
-----------------------------------------
| reward                  | -2.14       |
| reward_contact          | -0.047      |
| reward_ctrl             | 4.44e-05    |
| reward_motion           | 9.18e-07    |
| reward_position         | 0.000138    |
| reward_torque           | -2.86       |
| reward_velocity         | 0.766       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 595         |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 103         |
|    time_elapsed         | 489         |
|    total_timesteps      | 105472      |
| train/                  |             |
|    approx_kl            | 0.061719283 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.4         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.983       |
|    learning_rate        | 0.0003      |
|    loss                 | 195         |
|    n_updates            | 2040        |
|    policy_gradient_loss | -0.0671     |
|    std                  | 0.366       |
|    value_loss           | 384         |
-----------------------------------------
----------------------------------------
| reward                  | -2.16      |
| reward_contact          | -0.0469    |
| reward_ctrl             | 4.46e-05   |
| reward_motion           | 9.2e-07    |
| reward_position         | 0.000138   |
| reward_torque           | -2.87      |
| reward_velocity         | 0.764      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 588        |
| time/                   |            |
|    fps                  | 216        |
|    iterations           | 104        |
|    time_elapsed         | 492        |
|    total_timesteps      | 106496     |
| train/                  |            |
|    approx_kl            | 0.09381586 |
|    clip_fraction        | 0.213      |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.3      |
|    explained_variance   | 0.983      |
|    learning_rate        | 0.0003     |
|    loss                 | 106        |
|    n_updates            | 2060       |
|    policy_gradient_loss | -0.0782    |
|    std                  | 0.366      |
|    value_loss           | 346        |
----------------------------------------
-----------------------------------------
| reward                  | -2.16       |
| reward_contact          | -0.0469     |
| reward_ctrl             | 4.48e-05    |
| reward_motion           | 9.24e-07    |
| reward_position         | 0.000139    |
| reward_torque           | -2.87       |
| reward_velocity         | 0.762       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 588         |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 105         |
|    time_elapsed         | 496         |
|    total_timesteps      | 107520      |
| train/                  |             |
|    approx_kl            | 0.056681145 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.4         |
|    entropy_loss         | -18.5       |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0003      |
|    loss                 | 169         |
|    n_updates            | 2080        |
|    policy_gradient_loss | -0.0553     |
|    std                  | 0.366       |
|    value_loss           | 358         |
-----------------------------------------
Num timesteps: 108000
Best mean reward: 791.71 - Last mean reward per episode: 587.83
----------------------------------------
| reward                  | -2.17      |
| reward_contact          | -0.0469    |
| reward_ctrl             | 4.5e-05    |
| reward_motion           | 9.27e-07   |
| reward_position         | 0.000139   |
| reward_torque           | -2.89      |
| reward_velocity         | 0.764      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 597        |
| time/                   |            |
|    fps                  | 216        |
|    iterations           | 106        |
|    time_elapsed         | 500        |
|    total_timesteps      | 108544     |
| train/                  |            |
|    approx_kl            | 0.06581798 |
|    clip_fraction        | 0.164      |
|    clip_range           | 0.4        |
|    entropy_loss         | -17.6      |
|    explained_variance   | 0.983      |
|    learning_rate        | 0.0003     |
|    loss                 | 83         |
|    n_updates            | 2100       |
|    policy_gradient_loss | -0.0689    |
|    std                  | 0.366      |
|    value_loss           | 276        |
----------------------------------------
----------------------------------------
| reward                  | -2.16      |
| reward_contact          | -0.0469    |
| reward_ctrl             | 4.5e-05    |
| reward_motion           | 9.28e-07   |
| reward_position         | 0.000139   |
| reward_torque           | -2.88      |
| reward_velocity         | 0.763      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 596        |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 107        |
|    time_elapsed         | 504        |
|    total_timesteps      | 109568     |
| train/                  |            |
|    approx_kl            | 0.09682576 |
|    clip_fraction        | 0.231      |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.7      |
|    explained_variance   | 0.983      |
|    learning_rate        | 0.0003     |
|    loss                 | 391        |
|    n_updates            | 2120       |
|    policy_gradient_loss | -0.0893    |
|    std                  | 0.366      |
|    value_loss           | 469        |
----------------------------------------
----------------------------------------
| reward                  | -2.15      |
| reward_contact          | -0.0469    |
| reward_ctrl             | 4.49e-05   |
| reward_motion           | 9.27e-07   |
| reward_position         | 0.000139   |
| reward_torque           | -2.87      |
| reward_velocity         | 0.762      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 585        |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 108        |
|    time_elapsed         | 508        |
|    total_timesteps      | 110592     |
| train/                  |            |
|    approx_kl            | 0.08974074 |
